IBGE;Chave Sem Acento;Chave Com Acento;Perímetro;IBGE;UF;MUNICIPIOS;CONCAT;Tabela Regional
5213053;GO - MIMOSO DE GOIAS;GO - Mimoso de Goiás;Fora do perimetro;5213053;GO;MIMOSO DE GOIAS;GO - MIMOSO DE GOIAS;FORA DO PERIMETRO VTAL
5213004;GO - MAURILANDIA;GO - Maurilândia;V.tal;5213004;GO;MAURILANDIA;GO - MAURILANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212956;GO - MATRINCHA;GO - Matrinchã;Fora do perimetro;5212956;GO;MATRINCHA;GO - MATRINCHA;FORA DO PERIMETRO VTAL
5212907;GO - MARZAGAO;GO - Marzagão;V.tal;5212907;GO;MARZAGAO;GO - MARZAGAO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212808;GO - MARA ROSA;GO - Mara Rosa;V.tal;5212808;GO;MARA ROSA;GO - MARA ROSA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212709;GO - MAMBAI;GO - Mambaí;Fora do perimetro;5212709;GO;MAMBAI;GO - MAMBAI;FORA DO PERIMETRO VTAL
5212600;GO - MAIRIPOTABA;GO - Mairipotaba;Fora do perimetro;5212600;GO;MAIRIPOTABA;GO - MAIRIPOTABA;FORA DO PERIMETRO VTAL
5212501;GO - LUZIANIA;GO - Luziânia;V.tal;5212501;GO;LUZIANIA;GO - LUZIANIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212303;GO - LEOPOLDO DE BULHOES;GO - Leopoldo de Bulhões;V.tal;5212303;GO;LEOPOLDO DE BULHOES;GO - LEOPOLDO DE BULHOES;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212253;GO - LAGOA SANTA;GO - Lagoa Santa;Fora do perimetro;5212253;GO;LAGOA SANTA;GO - LAGOA SANTA;FORA DO PERIMETRO VTAL
5212204;GO - JUSSARA;GO - Jussara;V.tal;5212204;GO;JUSSARA;GO - JUSSARA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5212105;GO - JOVIANIA;GO - Joviânia;Fora do perimetro;5212105;GO;JOVIANIA;GO - JOVIANIA;FORA DO PERIMETRO VTAL
5212055;GO - JESUPOLIS;GO - Jesúpolis;Fora do perimetro;5212055;GO;JESUPOLIS;GO - JESUPOLIS;FORA DO PERIMETRO VTAL
5212006;GO - JAUPACI;GO - Jaupaci;Fora do perimetro;5212006;GO;JAUPACI;GO - JAUPACI;FORA DO PERIMETRO VTAL
5211909;GO - JATAI;GO - Jataí;V.tal;5211909;GO;JATAI;GO - JATAI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211800;GO - JARAGUA;GO - Jaraguá;V.tal;5211800;GO;JARAGUA;GO - JARAGUA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211701;GO - JANDAIA;GO - Jandaia;V.tal;5211701;GO;JANDAIA;GO - JANDAIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211602;GO - IVOLANDIA;GO - Ivolândia;Fora do perimetro;5211602;GO;IVOLANDIA;GO - IVOLANDIA;FORA DO PERIMETRO VTAL
5211503;GO - ITUMBIARA;GO - Itumbiara;V.tal;5211503;GO;ITUMBIARA;GO - ITUMBIARA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211404;GO - ITAUCU;GO - Itauçu;V.tal;5211404;GO;ITAUCU;GO - ITAUCU;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211305;GO - ITARUMA;GO - Itarumã;V.tal;5211305;GO;ITARUMA;GO - ITARUMA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211206;GO - ITAPURANGA;GO - Itapuranga;V.tal;5211206;GO;ITAPURANGA;GO - ITAPURANGA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5211008;GO - ITAPIRAPUA;GO - Itapirapuã;V.tal;5211008;GO;ITAPIRAPUA;GO - ITAPIRAPUA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210901;GO - ITAPACI;GO - Itapaci;V.tal;5210901;GO;ITAPACI;GO - ITAPACI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210802;GO - ITAJA;GO - Itajá;V.tal;5210802;GO;ITAJA;GO - ITAJA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210604;GO - ITAGUARU;GO - Itaguaru;Fora do perimetro;5210604;GO;ITAGUARU;GO - ITAGUARU;FORA DO PERIMETRO VTAL
5210562;GO - ITAGUARI;GO - Itaguari;Fora do perimetro;5210562;GO;ITAGUARI;GO - ITAGUARI;FORA DO PERIMETRO VTAL
5210406;GO - ITABERAI;GO - Itaberaí;V.tal;5210406;GO;ITABERAI;GO - ITABERAI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210307;GO - ISRAELANDIA;GO - Israelândia;V.tal;5210307;GO;ISRAELANDIA;GO - ISRAELANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210208;GO - IPORA;GO - Iporá;V.tal;5210208;GO;IPORA;GO - IPORA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210158;GO - IPIRANGA DE GOIAS;GO - Ipiranga de Goiás;V.tal;5210158;GO;IPIRANGA DE GOIAS;GO - IPIRANGA DE GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210109;GO - IPAMERI;GO - Ipameri;V.tal;5210109;GO;IPAMERI;GO - IPAMERI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5210000;GO - INHUMAS;GO - Inhumas;V.tal;5210000;GO;INHUMAS;GO - INHUMAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209952;GO - INDIARA;GO - Indiara;V.tal;5209952;GO;INDIARA;GO - INDIARA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209937;GO - INACIOLANDIA;GO - Inaciolândia;Fora do perimetro;5209937;GO;INACIOLANDIA;GO - INACIOLANDIA;FORA DO PERIMETRO VTAL
5209903;GO - IACIARA;GO - Iaciara;Fora do perimetro;5209903;GO;IACIARA;GO - IACIARA;FORA DO PERIMETRO VTAL
5209804;GO - HIDROLINA;GO - Hidrolina;V.tal;5209804;GO;HIDROLINA;GO - HIDROLINA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209705;GO - HIDROLANDIA;GO - Hidrolândia;V.tal;5209705;GO;HIDROLANDIA;GO - HIDROLANDIA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209606;GO - HEITORAI;GO - Heitoraí;V.tal;5209606;GO;HEITORAI;GO - HEITORAI;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209457;GO - GUARINOS;GO - Guarinos;Fora do perimetro;5209457;GO;GUARINOS;GO - GUARINOS;FORA DO PERIMETRO VTAL
5209408;GO - GUARANI DE GOIAS;GO - Guarani de Goiás;Fora do perimetro;5209408;GO;GUARANI DE GOIAS;GO - GUARANI DE GOIAS;FORA DO PERIMETRO VTAL
5209291;GO - GUARAITA;GO - Guaraíta;Fora do perimetro;5209291;GO;GUARAITA;GO - GUARAITA;FORA DO PERIMETRO VTAL
5209200;GO - GUAPO;GO - Guapó;V.tal;5209200;GO;GUAPO;GO - GUAPO;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5209150;GO - GOUVELANDIA;GO - Gouvelândia;Fora do perimetro;5209150;GO;GOUVELANDIA;GO - GOUVELANDIA;FORA DO PERIMETRO VTAL
5209101;GO - GOIATUBA;GO - Goiatuba;V.tal;5209101;GO;GOIATUBA;GO - GOIATUBA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5208905;GO - GOIAS;GO - Goiás;V.tal;5208905;GO;GOIAS;GO - GOIAS;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
5208806;GO - GOIANIRA;GO - Goianira;V.tal;5208806;GO;GOIANIRA;GO - GOIANIRA;10. Nordeste-Interior (exceto MA) e GO/MS/TO interior
